Journal ISO4 Abbreviation,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor
Acta Neuropathol.,2001,29,140,62,0.015978695
Acta Neuropathol.,2002,31,135,79,0.016194332
Acta Neuropathol.,2003,27,128,43,0.011019284
Acta Neuropathol.,2004,32,113,84,0.036931818
Acta Neuropathol.,2005,27,109,91,0.032258065
Acta Neuropathol.,2006,34,96,68,0.041009464
Acta Neuropathol.,2007,35,90,119,0.06763285
Acta Neuropathol.,2008,31,88,107,0.072512648
Acta Neuropathol.,2009,48,76,166,0.150943396
Acta Neuropathol.,2010,47,82,94,0.097731239
Acta Neuropathol.,2011,25,89,67,0.069767442
Acta Neuropathol.,2012,37,91,78,0.088652482
Acta Neuropathol.,2013,32,92,109,0.12565445
Acta Neuropathol.,2014,31,93,62,0.098786828
Acta Neuropathol.,2015,30,84,51,0.074010327
Acta Neuropsychiatr,2004,3,42,3,0.01369863
Acta Neuropsychiatr,2007,1,49,10,0.01511335
Acta Neuropsychiatr,2009,2,54,2,0.002597403
Acta Neuropsychiatr,2012,1,58,6,0.036144578
Acta Neuropsychiatr,2015,1,49,1,0.004807692
Acta Obstet Gynecol Scand,1999,8,163,10,0.002403846
Acta Obstet Gynecol Scand,2000,9,212,14,0.004878049
Acta Obstet Gynecol Scand,2001,7,222,18,0.00952381
Acta Obstet Gynecol Scand,2002,10,200,29,0.006849315
Acta Obstet Gynecol Scand,2003,12,195,17,0.006944444
Acta Obstet Gynecol Scand,2004,15,216,28,0.00886918
Acta Obstet Gynecol Scand,2005,13,228,21,0.007616975
Acta Obstet Gynecol Scand,2006,8,261,17,0.004232804
Acta Obstet Gynecol Scand,2007,9,240,25,0.005923001
Acta Obstet Gynecol Scand,2008,9,191,22,0.007497657
Acta Obstet Gynecol Scand,2009,13,199,27,0.012524085
Acta Obstet Gynecol Scand,2010,6,229,14,0.008789063
Acta Obstet Gynecol Scand,2011,6,197,8,0.002946955
Acta Obstet Gynecol Scand,2012,3,203,5,0.002014099
Acta Obstet Gynecol Scand,2013,6,187,9,0.006862745
Acta Odontol. Scand.,1999,3,56,14,0.003558719
Acta Odontol. Scand.,2001,7,60,11,0.012096774
Acta Odontol. Scand.,2002,3,62,3,0.004
Acta Odontol. Scand.,2003,2,58,18,0.004098361
Acta Odontol. Scand.,2006,3,58,24,0.029045643
Acta Odontol. Scand.,2008,3,55,4,0.008583691
Acta Odontol. Scand.,2009,3,54,5,0.017316017
Acta Odontol. Scand.,2010,3,46,3,0.00862069
Acta Odontol. Scand.,2011,2,58,2,0.004545455
Acta Odontol. Scand.,2012,1,92,1,0.004464286
Acta Odontol. Scand.,2013,7,231,10,0.030888031
Acta Oncol,1999,15,145,39,0.023529412
Acta Oncol,2000,14,125,28,0.010606061
Acta Oncol,2001,12,101,16,0.008561644
Acta Oncol,2002,12,90,24,0.01084991
Acta Oncol,2003,5,86,12,0.007326007
Acta Oncol,2004,6,87,13,0.006355932
Acta Oncol,2005,8,90,17,0.020737327
Acta Oncol,2006,8,106,11,0.020833333
Acta Oncol,2007,9,123,14,0.01443299
Acta Oncol,2008,13,176,23,0.016129032
Acta Oncol,2009,15,116,18,0.019145803
Acta Oncol,2010,9,161,22,0.025885559
Acta Oncol,2011,10,153,18,0.02075227
Acta Oncol,2012,7,107,13,0.016029593
Acta Oncol,2013,7,193,29,0.012048193
Acta Oncol,2014,7,153,8,0.009615385
Acta Oncol,2015,3,211,3,0.00238379
Acta Ophthalmol Scand,1999,12,159,44,0.006546645
Acta Ophthalmol Scand,2000,17,122,99,0.02118003
Acta Ophthalmol Scand,2001,10,119,21,0.008955224
Acta Ophthalmol Scand,2002,13,90,107,0.037325039
Acta Ophthalmol Scand,2003,8,95,12,0.003395586
Acta Ophthalmol Scand,2004,8,112,31,0.012477718
Acta Ophthalmol Scand,2005,13,112,35,0.017513135
Acta Ophthalmol Scand,2006,15,118,35,0.013245033
Acta Ophthalmol Scand,2007,13,132,26,0.017964072
Acta Ophthalmol,2009,12,133,45,0.135
Acta Ophthalmol,2010,18,164,28,0.034146341
Acta Ophthalmol,2011,14,206,21,0.022091311
Acta Ophthalmol,2012,8,208,17,0.009268795
Acta Ophthalmol,2013,13,201,15,0.010128913
Acta Ophthalmol,2014,8,222,13,0.011976048
Acta Ophthalmol,2015,6,197,7,0.004125413
Acta Orthop Belg,2009,3,138,8,0.003508772
Acta Orthop Belg,2010,8,131,17,0.019031142
Acta Orthop Belg,2011,4,137,4,0.005190311
Acta Orthop Belg,2012,7,129,11,0.010434783
Acta Orthop Belg,2013,1,120,1,0.001792115
Acta Orthop Scand,1999,7,121,19,0.003571429
Acta Orthop Scand,2000,15,102,48,0.019607843
Acta Orthop Scand,2001,14,90,61,0.022304833
Acta Orthop Scand,2002,6,121,12,0.001960784
Acta Orthop Scand,2003,8,117,33,0.024390244
Acta Orthop Scand,2004,9,113,13,0.012195122
Acta Orthop Traumatol Turc,2011,2,74,2,0.002949853
Acta Orthop Traumatol Turc,2012,1,80,1,0.003164557
Acta Orthop Traumatol Turc,2013,3,74,3,0.006024096
Acta Orthop,2006,13,134,26,0.053691275
Acta Orthop,2007,10,114,13,0.016393443
Acta Orthop,2008,13,108,25,0.025462963
Acta Orthop,2009,5,121,8,0.007079646
Acta Orthop,2010,5,116,8,0.009107468
Acta Orthop,2011,2,123,9,0.005747126
Acta Orthop,2012,3,104,3,0.001897533
Acta Orthop,2013,2,98,2,0.003913894
Acta Orthop,2014,3,104,6,0.014285714
Acta Orthop,2015,3,111,4,0.006185567
Acta Otolaryngol.,1999,20,151,36,0.004716981
Acta Otolaryngol.,2000,11,159,22,0.018518519
Acta Otolaryngol.,2001,10,160,16,0.01369863
Acta Otolaryngol.,2002,16,130,40,0.022354694
Acta Otolaryngol.,2003,16,172,52,0.022222222
Acta Otolaryngol.,2004,23,200,56,0.02991453
Acta Otolaryngol.,2005,16,217,22,0.009114583
Acta Otolaryngol.,2006,9,222,17,0.007220217
Acta Otolaryngol.,2007,8,203,13,0.00877193
Acta Otolaryngol.,2008,10,213,16,0.006444683
Acta Otolaryngol.,2009,17,221,49,0.016339869
Acta Otolaryngol.,2010,13,202,22,0.015250545
Acta Otolaryngol.,2011,11,190,20,0.014492754
Acta Otolaryngol.,2012,3,217,4,0.001132503
Acta Otolaryngol.,2013,5,190,6,0.005681818
Acta Otolaryngol.,2014,2,188,3,0.00238379
Acta Otolaryngol.,2015,3,204,3,0.002453988
Acta Otorhinolaryngol Ital,2013,2,64,2,0.008547009
Acta Otorhinolaryngol Ital,2014,4,58,5,0.012244898
Acta Paediatr.,1999,13,270,36,0.006933744
Acta Paediatr.,2000,15,289,39,0.00859375
Acta Paediatr.,2001,19,260,24,0.007800312
Acta Paediatr.,2002,8,263,15,0.003912363
Acta Paediatr.,2003,7,274,12,0.002321981
Acta Paediatr.,2004,10,303,14,0.005443235
Acta Paediatr.,2005,15,323,26,0.004698512
Acta Paediatr.,2006,10,294,50,0.027252082
Acta Paediatr.,2007,23,400,56,0.017738359
Acta Paediatr.,2008,12,354,23,0.005322688
Acta Paediatr.,2009,13,368,34,0.016795866
Acta Paediatr.,2010,11,344,12,0.004416404
Acta Paediatr.,2011,12,340,17,0.005491153
Acta Paediatr.,2012,9,334,11,0.003875969
Acta Paediatr.,2013,5,319,10,0.004575163
Acta Paediatr.,2014,8,290,9,0.005354752
Acta Paediatr.,2015,3,297,5,0.00349895
Acta Parasitol.,2014,2,130,2,0.01459854
Acta Pharm,2010,4,36,4,0.00625
Acta Pharm,2011,6,34,10,0.025
Acta Pharm,2012,9,31,19,0.09375
Acta Pharm,2013,5,35,24,0.09375
Acta Pharm,2014,1,39,1,0.00625
Acta Pharmacol. Sin.,2001,28,179,44,0.068493151
Acta Pharmacol. Sin.,2002,36,169,68,0.079812207
Acta Pharmacol. Sin.,2003,33,173,70,0.049050633
Acta Pharmacol. Sin.,2004,44,212,84,0.039285714
Acta Pharmacol. Sin.,2005,50,170,458,0.126279863
Acta Pharmacol. Sin.,2006,49,169,107,0.043624161
Acta Pharmacol. Sin.,2007,41,211,80,0.038546256
Acta Pharmacol. Sin.,2008,33,154,63,0.032494759
Acta Pharmacol. Sin.,2009,32,167,50,0.027149321
Acta Pharmacol. Sin.,2010,38,169,55,0.033681765
Acta Pharmacol. Sin.,2011,33,167,65,0.038823529
Acta Pharmacol. Sin.,2012,27,160,56,0.045169385
Acta Pharmacol. Sin.,2013,25,169,56,0.0498132
Acta Pharmacol. Sin.,2014,24,140,39,0.036204744
Acta Pharmacol. Sin.,2015,15,139,25,0.03042328
Acta Physiol (Oxf),2007,9,93,36,0.144144144
Acta Physiol (Oxf),2008,9,112,19,0.022222222
Acta Physiol (Oxf),2009,10,105,33,0.033519553
Acta Physiol (Oxf),2010,10,113,15,0.022964509
Acta Physiol (Oxf),2011,6,139,8,0.012096774
Acta Physiol (Oxf),2012,10,114,14,0.015009381
Acta Physiol (Oxf),2013,6,120,29,0.02946593
Acta Physiol (Oxf),2014,8,141,8,0.010416667
Acta Physiol (Oxf),2015,4,131,7,0.0078125
Acta Physiol Hung,2009,2,32,2,0.017094017
Acta Physiol Hung,2011,1,50,1,0.007352941
Acta Physiol Hung,2014,2,49,2,0.010752688
Acta Physiol. Scand.,1999,12,170,18,0.002915452
Acta Physiol. Scand.,2000,12,134,36,0.008486563
Acta Physiol. Scand.,2001,18,114,73,0.008810573
Acta Physiol. Scand.,2002,8,101,12,0.007739938
Acta Physiol. Scand.,2003,22,122,118,0.068062827
Acta Physiol. Scand.,2004,11,126,30,0.005607477
Acta Physiol. Scand.,2005,10,94,28,0.007604563
Acta Pol Pharm,2009,6,89,13,0.016304348
Acta Pol Pharm,2010,15,92,32,0.037406484
Acta Pol Pharm,2011,7,122,10,0.012285012
Acta Pol Pharm,2012,11,160,28,0.050884956
Acta Pol Pharm,2013,5,124,6,0.007952286
Acta Pol Pharm,2014,9,121,15,0.022346369
Acta Pol Pharm,2015,4,112,4,0.007155635
Acta Psychiatr Scand,1999,3,122,11,0.001560062
Acta Psychiatr Scand,2000,4,127,7,0.001584786
Acta Psychiatr Scand,2001,7,121,17,0.006462036
Acta Psychiatr Scand,2002,5,125,23,0.00166113
Acta Psychiatr Scand,2003,3,122,29,0.006872852
Acta Psychiatr Scand,2004,1,111,1,0.001724138
Acta Psychiatr Scand,2005,1,119,1,0.001776199
Acta Psychiatr Scand,2006,5,104,26,0.028933092
Acta Psychiatr Scand,2007,9,103,30,0.032906764
Acta Psychiatr Scand,2008,2,114,2,0.001841621
Acta Psychiatr Scand,2009,7,107,8,0.009107468
Acta Psychiatr Scand,2010,5,101,27,0.02014652
Acta Psychiatr Scand,2011,4,93,36,0.027932961
Acta Psychiatr Scand,2015,1,105,2,0.003752345
Acta Psychol (Amst),1999,2,37,33,0.007692308
Acta Psychol (Amst),2005,1,48,1,0.005102041
Acta Psychol (Amst),2008,4,153,8,0.023041475
Acta Psychol (Amst),2010,1,119,2,0.005479452
Acta Psychol (Amst),2013,2,158,2,0.002004008
Acta Radiol,1999,6,102,17,0.003189793
Acta Radiol,2000,2,130,14,0.001628664
Acta Radiol,2002,6,104,10,0.004032258
Acta Radiol,2003,5,108,6,0.0041841
Acta Radiol,2004,4,141,5,0.00617284
Acta Radiol,2005,3,136,6,0.009765625
Acta Radiol,2006,4,176,18,0.005415162
Acta Radiol,2007,4,168,4,0.003154574
Acta Radiol,2008,6,169,9,0.002857143
Acta Radiol,2009,9,148,21,0.010958904
Acta Radiol,2010,12,143,36,0.024128686
Acta Radiol,2011,2,185,6,0.005633803
Acta Radiol,2012,4,178,4,0.002773925
Acta Radiol,2013,6,168,7,0.006963788
Acta Radiol,2014,3,155,4,0.00538358
Acta Radiol,2015,2,197,2,0.002670227
Acta Reumatol Port,2011,1,53,1,0.006451613
Acta Reumatol Port,2012,1,44,2,0.003115265
Acta Reumatol Port,2015,0,54,0,0.004329004
Acta Trop.,1999,8,51,10,0.008797654
Acta Trop.,2000,18,122,38,0.014619883
Acta Trop.,2001,4,89,5,0.007075472
Acta Trop.,2002,11,107,12,0.010230179
Acta Trop.,2003,15,142,23,0.009345794
Acta Trop.,2004,12,119,32,0.033834586
Acta Trop.,2005,12,123,17,0.021113244
Acta Trop.,2006,9,151,12,0.007155635
Acta Trop.,2007,6,101,10,0.011744966
Acta Trop.,2008,8,161,17,0.018552876
Acta Trop.,2009,8,178,9,0.012173913
Acta Trop.,2010,8,146,9,0.0063593
Acta Trop.,2011,10,161,11,0.0063593
Acta Trop.,2012,8,158,13,0.011527378
Acta Trop.,2013,6,217,7,0.010130246
Acta Trop.,2014,6,247,8,0.009668508
Acta Trop.,2015,2,294,2,0.002436054
Acta Vet. Hung.,1999,2,45,3,0.005747126
Acta Vet. Hung.,2000,6,47,13,0.022222222
Acta Vet. Hung.,2001,3,50,4,0.005347594
Acta Vet. Hung.,2003,2,49,10,0.024875622
Acta Vet. Hung.,2004,5,44,8,0.009756098
Acta Vet. Hung.,2005,2,47,2,0.004975124
Acta Vet. Hung.,2006,3,46,6,0.025380711
Acta Vet. Hung.,2008,2,54,8,0.015
Acta Vet. Hung.,2012,1,45,1,0.004878049
Acta Vet. Scand.,2000,1,36,3,0.011173184
Acta Vet. Scand.,2001,4,45,5,0.017964072
Acta Vet. Scand.,2002,2,25,3,0.005649718
Acta Vet. Scand.,2004,1,22,1,0.006493506
Acta Vet. Scand.,2006,2,29,2,0.008403361
Acta Vet. Scand.,2007,4,35,6,0.016129032
Acta Vet. Scand.,2008,5,46,7,0.016260163
Acta Vet. Scand.,2009,7,49,7,0.032894737
Acta Vet. Scand.,2010,4,62,4,0.011111111
Acta Vet. Scand.,2011,1,74,3,0.004651163
Acta Vet. Scand.,2012,1,76,1,0.004
Acta Vet. Scand.,2013,4,85,6,0.014492754
Acta Vet. Scand.,2014,2,87,3,0.009708738
Acta Vet. Scand.,2015,6,84,10,0.018126888
Acta Virol.,1999,10,58,44,0.021008403
Acta Virol.,2000,3,48,3,0.003831418
Acta Virol.,2001,3,43,6,0.01509434
Acta Virol.,2002,4,32,10,0.031620553
Acta Virol.,2003,4,35,6,0.018518519
Acta Virol.,2004,4,33,4,0.005291005
Acta Virol.,2006,3,34,6,0.006024096
Acta Virol.,2007,3,29,6,0.017647059
Acta Virol.,2008,2,33,2,0.006097561
Acta Virol.,2009,5,36,6,0.02484472
Acta Virol.,2010,3,41,3,0.012121212
Acta Virol.,2011,5,38,7,0.011904762
Acta Virol.,2012,1,42,2,0.010810811
Acta Virol.,2013,5,48,9,0.025125628
Acta Virol.,2014,2,51,2,0.009345794
Acta. Biol. Hung.,2001,3,45,5,0.012269939
Acta. Biol. Hung.,2002,3,49,8,0.006097561
Acta. Biol. Hung.,2003,2,36,2,0.011111111
Acta. Biol. Hung.,2011,2,45,2,0.004201681
Acta. Biol. Hung.,2012,2,79,3,0.004291845
Acta. Biol. Hung.,2015,1,40,1,0.004608295
Actas Esp Psiquiatr,2008,1,49,1,0.004032258
Actas Esp Psiquiatr,2012,1,45,1,0.004761905
Actas Urol Esp,2010,2,106,2,0.002453988
Actas Urol Esp,2011,1,101,1,0.002412545
Actas Urol Esp,2012,2,90,9,0.008064516
Actas Urol Esp,2013,3,89,3,0.003039514
Acupunct Electrother Res,2002,1,13,1,0.018181818
Acupunct Electrother Res,2004,1,9,6,0.035714286
Acupunct Electrother Res,2005,1,11,1,0.018518519
Acupunct Electrother Res,2011,1,7,2,0.026315789
Acupunct Med,2011,1,59,1,0.006329114
Acupunct Med,2012,2,55,4,0.015306122
Acupunct Med,2013,1,63,1,0.004329004
Acupunct Med,2014,2,72,3,0.003759398
Acupunct Med,2015,1,59,1,0.003205128
Addict Behav,2002,1,72,1,0.002777778
Addict Behav,2004,6,184,26,0.048969072
Addict Behav,2005,2,180,5,0.004175365
Addict Behav,2006,2,227,6,0.001709402
Addict Behav,2007,6,296,14,0.002702703
Addict Behav,2009,2,176,2,0.001111111
Addict Behav,2010,2,199,10,0.006703911
Addict Behav,2012,2,227,2,0.002493766
Addict Behav,2013,1,237,4,0.003550296
Addict Behav,2014,1,300,1,0.001103753
Addict Behav,2015,1,323,1,0.00099108
Addict Biol,1999,3,44,3,0.024
Addict Biol,2000,1,46,8,0.023121387
Addict Biol,2001,1,29,1,0.005494505
Addict Biol,2003,6,43,19,0.017142857
Addict Biol,2004,1,28,4,0.011235955
Addict Biol,2005,8,35,14,0.05
Addict Biol,2006,6,26,14,0.028409091
Addict Biol,2007,5,30,8,0.031446541
Addict Biol,2008,7,39,8,0.034722222
Addict Biol,2009,4,48,15,0.012345679
Addict Biol,2011,5,58,5,0.016574586
Addict Biol,2012,8,85,11,0.038461538
Addict Biol,2013,6,98,9,0.023622047
Addict Biol,2014,6,95,6,0.013114754
Addict Biol,2015,1,92,1,0.002770083
Addiction,2000,12,178,27,0.008196721
Addiction,2001,6,135,13,0.003783102
Addiction,2002,5,175,6,0.001206273
Addiction,2003,6,194,7,0.001104972
Addiction,2004,6,184,14,0.004162331
Addiction,2005,5,215,8,0.003125
Addiction,2006,8,210,20,0.003902439
Addiction,2007,4,249,4,0.000935454
Addiction,2008,5,254,6,0.002638522
Addiction,2009,3,278,9,0.001687764
Addiction,2010,3,313,4,0.002487562
Addiction,2011,3,312,7,0.002347418
Addiction,2012,4,327,4,0.00149925
Addiction,2013,5,299,16,0.007047216
Addiction,2014,4,291,5,0.001364256
Addiction,2015,3,297,4,0.00204918
Adm Policy Ment Health,2001,1,36,1,0.007518797
Adv Anat Embryol Cell Biol,2005,1,4,2,0.055555556
Adv Anat Embryol Cell Biol,2007,2,6,3,0.05
Adv Anat Embryol Cell Biol,2014,1,12,1,0.125
Adv Anat Pathol,2001,5,30,10,0.030612245
Adv Anat Pathol,2002,4,27,12,0.045454545
Adv Anat Pathol,2003,2,30,4,0.007575758
Adv Anat Pathol,2004,3,30,6,0.02962963
Adv Anat Pathol,2005,5,30,10,0.037878788
Adv Anat Pathol,2006,4,33,5,0.015151515
Adv Anat Pathol,2007,6,30,14,0.058394161
Adv Anat Pathol,2008,2,29,5,0.021126761
Adv Anat Pathol,2009,4,35,10,0.013986014
Adv Anat Pathol,2010,4,36,4,0.006802721
Adv Anat Pathol,2011,2,40,2,0.006578947
Adv Anat Pathol,2012,2,39,2,0.006289308
Adv Anat Pathol,2013,2,41,3,0.011695906
Adv Anat Pathol,2014,2,42,4,0.022857143
Adv Carbohydr Chem Biochem,2004,2,2,22,0.842105263
Adv Carbohydr Chem Biochem,2007,2,5,3,0.117647059
Adv Carbohydr Chem Biochem,2009,2,5,9,0.333333333
Adv Carbohydr Chem Biochem,2010,6,5,35,0.6
Adv Carbohydr Chem Biochem,2015,1,3,2,0.03125
Adv Chromatogr,2000,3,10,37,0.6875
Adv Chromatogr,2001,1,9,2,0.043478261
Adv Chromatogr,2003,3,5,6,0.043478261
Adv Chromatogr,2007,1,6,1,0.047619048
Adv Chromatogr,2008,2,8,4,0.15
Adv Chromatogr,2014,1,11,1,0.035714286
Adv Chronic Kidney Dis,2005,3,45,7,0.088235294
Adv Chronic Kidney Dis,2006,2,46,4,0.046511628
Adv Chronic Kidney Dis,2007,2,51,5,0.02919708
Adv Chronic Kidney Dis,2008,4,41,26,0.114583333
Adv Chronic Kidney Dis,2009,6,50,7,0.023923445
Adv Chronic Kidney Dis,2010,16,38,26,0.058035714
Adv Chronic Kidney Dis,2011,6,48,10,0.020920502
Adv Chronic Kidney Dis,2013,3,58,3,0.00754717
Adv Chronic Kidney Dis,2014,6,49,8,0.018450185
Adv Clin Chem,2001,2,4,6,0.083333333
Adv Clin Chem,2004,2,6,4,0.105263158
Adv Clin Chem,2005,5,12,13,0.227272727
Adv Clin Chem,2006,4,12,21,0.424242424
Adv Clin Chem,2007,6,10,24,0.306122449
Adv Clin Chem,2008,4,12,5,0.068965517
Adv Clin Chem,2009,3,19,4,0.060606061
Adv Clin Chem,2010,5,17,5,0.054794521
Adv Clin Chem,2011,7,14,12,0.075949367
Adv Clin Chem,2012,2,20,3,0.035294118
Adv Clin Chem,2013,2,24,3,0.022222222
Adv Clin Chem,2014,3,32,4,0.021505376
Adv Clin Chem,2015,2,31,2,0.018181818
Adv Clin Exp Med,2013,6,94,6,0.052631579
Adv Clin Exp Med,2014,2,124,2,0.014851485
Adv Clin Exp Med,2015,4,131,4,0.011904762
Adv Colloid Interface Sci,2000,8,28,29,0.153846154
Adv Colloid Interface Sci,2001,7,29,15,0.042553191
Adv Colloid Interface Sci,2002,14,38,81,0.156626506
Adv Colloid Interface Sci,2003,12,41,40,0.038461538
Adv Colloid Interface Sci,2004,20,39,131,0.296089385
Adv Colloid Interface Sci,2005,13,50,28,0.059405941
Adv Colloid Interface Sci,2006,29,57,159,0.331877729
Adv Colloid Interface Sci,2007,10,25,23,0.018939394
Adv Colloid Interface Sci,2008,16,34,67,0.142857143
Adv Colloid Interface Sci,2009,19,40,63,0.130252101
Adv Colloid Interface Sci,2010,15,61,75,0.098290598
Adv Colloid Interface Sci,2011,22,58,59,0.159292035
Adv Colloid Interface Sci,2012,8,42,12,0.02189781
Adv Colloid Interface Sci,2013,9,26,13,0.03649635
Adv Colloid Interface Sci,2014,24,128,45,0.148594378
Adv Colloid Interface Sci,2015,15,109,20,0.055384615
Adv Energy Mater,2015,1,1,1,0.5
Adv Eng Mater,2011,1,0,1,1
Adv Eng Mater,2015,1,0,1,0.333333333
Adv Funct Mater,2008,6,2,22,3.666666667
Adv Funct Mater,2009,10,2,114,3.272727273
Adv Funct Mater,2010,17,6,110,2.913043478
Adv Funct Mater,2011,12,10,69,0.869565217
Adv Funct Mater,2012,10,6,55,0.476923077
Adv Funct Mater,2013,17,9,90,0.931506849
Adv Funct Mater,2014,19,21,76,0.632183908
Adv Funct Mater,2015,15,13,44,0.211538462
Adv Health Sci Educ Theory Pract,2004,1,26,1,0.011764706
Adv Healthc Mater,2013,51,128,92,0.903225806
Adv Healthc Mater,2014,56,154,106,0.258181818
Adv Healthc Mater,2015,57,211,96,0.147843943
Adv Intern Med,2001,2,23,18,0.063492063
Adv Med Sci,2009,2,49,3,0.006944444
Adv Med Sci,2011,1,54,1,0.003802281
Adv Med Sci,2013,2,57,2,0.004672897
Adv Med Sci,2014,1,54,1,0.004504505
Adv Med Sci,2015,5,50,6,0.013392857
Adv Neonatal Care,2014,2,54,2,0.003921569
Adv Neonatal Care,2015,1,52,1,0.003558719
Adv Neurol,2000,1,101,33,0.001785714
Adv Neurol,2001,5,111,29,0.011904762
Adv Neurol,2003,10,107,29,0.027027027
Adv Nutr,2012,20,84,49,0.347826087
Adv Nutr,2013,12,84,17,0.064171123
Adv Nutr,2014,6,99,9,0.024647887
Adv Nutr,2015,6,79,7,0.018324607
Adv Opt Mater,2015,2,1,4,2
Adv Physiol Educ,2001,3,22,8,0.130434783
Adv Physiol Educ,2002,5,34,25,0.096153846
Adv Physiol Educ,2004,5,29,10,0.030075188
Adv Physiol Educ,2005,1,38,9,0.020134228
Adv Physiol Educ,2007,5,65,6,0.017751479
Adv Physiol Educ,2008,2,53,2,0.009569378
Adv Physiol Educ,2011,1,73,1,0.004016064
Adv Physiol Educ,2013,2,62,3,0.012096774
Adv Physiol Educ,2014,2,59,3,0.007936508
Adv Protein Chem Struct Biol,2010,2,13,2,0.076923077
Adv Protein Chem Struct Biol,2011,1,23,14,0.285714286
Adv Protein Chem Struct Biol,2012,4,25,7,0.096153846
Adv Protein Chem Struct Biol,2014,1,32,1,0.009803922
Adv Ren Replace Ther,2002,7,32,8,0.005524862
Adv Ren Replace Ther,2003,3,30,3,0.011235955
Adv Sci (Weinh),2015,31,83,56,8.166666667
Adv Skin Wound Care,2011,9,57,13,0.021341463
Adv Skin Wound Care,2012,4,69,22,0.029673591
Adv Skin Wound Care,2013,3,70,3,0.005882353
Adv Skin Wound Care,2014,2,78,2,0.002941176
Adv Skin Wound Care,2015,2,72,4,0.011594203
Adv Space Res,2003,6,137,8,0.016666667
Adv Space Res,2004,2,81,2,0.002777778
Adv Space Res,2005,1,43,1,0.002512563
Adv Space Res,2009,1,1,8,0.074074074
Adv Ther,2001,12,19,96,0.565217391
Adv Ther,2002,7,26,10,0.020618557
Adv Ther,2003,5,32,13,0.018181818
Adv Ther,2004,4,34,7,0.037313433
Adv Ther,2005,5,61,32,0.021582734
Adv Ther,2006,7,105,13,0.034482759
Adv Ther,2007,17,126,25,0.043307087
Adv Ther,2008,15,107,40,0.047222222
Adv Ther,2009,18,77,29,0.022522523
Adv Ther,2010,16,65,56,0.063424947
Adv Ther,2011,12,92,25,0.031746032
Adv Ther,2012,9,71,30,0.059701493
Adv Ther,2013,7,70,14,0.024930748
Adv Ther,2014,4,80,6,0.011527378
Adv Ther,2015,6,85,13,0.028409091
Adv. Appl. Microbiol.,2001,3,18,5,0.192307692
Adv. Appl. Microbiol.,2002,4,4,5,0.066666667
Adv. Appl. Microbiol.,2003,7,17,11,0.131578947
Adv. Appl. Microbiol.,2004,10,32,38,0.177419355
Adv. Appl. Microbiol.,2005,1,14,1,0.010526316
Adv. Appl. Microbiol.,2007,3,15,4,0.00990099
Adv. Appl. Microbiol.,2008,5,20,7,0.021052632
Adv. Appl. Microbiol.,2009,7,20,18,0.141025641
Adv. Appl. Microbiol.,2010,9,13,25,0.166666667
Adv. Appl. Microbiol.,2012,2,19,129,0.166666667
Adv. Appl. Microbiol.,2013,3,14,3,0.023255814
Adv. Appl. Microbiol.,2014,3,19,3,0.039473684
Adv. Appl. Microbiol.,2015,2,15,2,0.026315789
Adv. Biochem. Eng. Biotechnol.,2005,20,40,130,0.214765101
Adv. Biochem. Eng. Biotechnol.,2006,12,6,61,0.12972973
Adv. Biochem. Eng. Biotechnol.,2007,24,30,309,0.953216374
Adv. Biochem. Eng. Biotechnol.,2008,10,20,66,0.193181818
Adv. Biochem. Eng. Biotechnol.,2009,13,28,25,0.073619632
Adv. Biochem. Eng. Biotechnol.,2010,14,46,20,0.097222222
